FLIGHT_NUMBER,ORIGIN,DESTINATION,DEPARTURE_TIME,ARRIVAL_TIME,PRICE,CURRENCY
A101,1,2,17:00,11:00,850,EURO
B101,1,3,12:00,19:30,750,EURO
C101,1,6,13:00,18:30,800,EURO
D101,1,5,9:00,15:00,600,EURO
E101,5,3,16:00,17:30,100,EURO
F101,3,2,20:30,21:30,80,EURO
G101,3,2,18:00,19:30,100,EURO
A201,4,2,11:30,17:00,600,EURO
B201,4,3,12:35,19:30,750,EURO
C201,4,6,13:45,18:30,800,EURO
D201,4,5,9:00,15:00,600,EURO
E201,1,3,18:45,20:15,100,EURO
F201,3,2,21:15,22:30,80,EURO
G101,3,2,20:20,22:30,100,EURO
A102,1,2,18:00,13:00,1850,EURO
